Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Managed + Burst,27,2,2.827,1302499328,0,2025-06-13 13:32:53
Managed + Burst,27,3,1.820,1206009856,0,2025-06-13 13:32:53
Managed + Burst,27,4,1.701,1226989568,0,2025-06-13 13:32:53
Managed + Burst,27,5,1.635,1247969280,0,2025-06-13 13:32:53
Managed + Burst,28,1,1.842,1268948992,0,2025-06-13 13:32:53
Managed + Burst,28,2,1.598,1289928704,0,2025-06-13 13:32:53
Managed + Burst,28,3,2.150,1310908416,0,2025-06-13 13:32:53
Managed + Burst,28,4,1.676,1331888128,0,2025-06-13 13:32:53
Managed + Burst,28,5,1.599,1235398656,0,2025-06-13 13:32:53
Managed + Burst,29,1,1.672,1256378368,0,2025-06-13 13:32:53
Managed + Burst,29,2,1.759,1277358080,0,2025-06-13 13:32:53
Managed + Burst,29,3,1.550,1298337792,0,2025-06-13 13:32:53
Managed + Burst,29,4,1.632,1319317504,0,2025-06-13 13:32:53
Managed + Burst,29,5,1.624,1340297216,0,2025-06-13 13:32:53
Managed + Burst,30,1,1.796,1361276928,0,2025-06-13 13:32:53
Managed + Burst,30,2,11.196,1264787456,1,2025-06-13 13:32:53
Managed + Burst,30,3,1.578,1285767168,0,2025-06-13 13:32:53
Managed + Burst,30,4,1.571,1306746880,0,2025-06-13 13:32:53
Managed + Burst,30,5,1.849,1327726592,0,2025-06-13 13:32:53
Managed + Burst,31,1,1.616,1348706304,0,2025-06-13 13:32:53
Managed + Burst,31,2,1.585,1369686016,0,2025-06-13 13:32:53
Managed + Burst,31,3,1.943,1390665728,0,2025-06-13 13:32:53
Managed + Burst,31,4,26.903,1411661824,0,2025-06-13 13:32:53
Managed + Burst,31,5,25.013,1432674304,0,2025-06-13 13:32:53
Managed + Burst,32,1,10.188,1302564864,1,2025-06-13 13:32:53
Managed + Burst,32,2,1.799,1323544576,0,2025-06-13 13:32:53
Managed + Burst,32,3,1.811,1344524288,0,2025-06-13 13:32:53
