Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Arena + Burst,22,4,1.228,703188992,0,6/13/2025 13:13
Arena + Burst,22,5,1.197,703188992,0,6/13/2025 13:13
Arena + Burst,23,1,1.221,724168704,0,6/13/2025 13:13
Arena + Burst,23,2,1.283,598196224,0,6/13/2025 13:13
Arena + Burst,23,3,1.247,598196224,0,6/13/2025 13:13
Arena + Burst,23,4,1.439,598196224,0,6/13/2025 13:13
Arena + Burst,23,5,1.177,598196224,0,6/13/2025 13:13
Arena + Burst,24,1,1.116,619175936,0,6/13/2025 13:13
Arena + Burst,24,2,1.235,619175936,0,6/13/2025 13:13
Arena + Burst,24,3,1.164,619175936,0,6/13/2025 13:13
Arena + Burst,24,4,1.163,619175936,0,6/13/2025 13:13
Arena + Burst,24,5,1.162,619175936,0,6/13/2025 13:13
Arena + Burst,25,1,1.292,640155648,0,6/13/2025 13:13
Arena + Burst,25,2,1.32,640155648,0,6/13/2025 13:13
Arena + Burst,25,3,1.101,640155648,0,6/13/2025 13:13
Arena + Burst,25,4,1.226,640155648,0,6/13/2025 13:13
Arena + Burst,25,5,1.166,640172032,0,6/13/2025 13:13
Arena + Burst,26,1,1.167,661151744,0,6/13/2025 13:13
Arena + Burst,26,2,1.159,661151744,0,6/13/2025 13:13
Arena + Burst,26,3,1.2,661151744,0,6/13/2025 13:13
Arena + Burst,26,4,1.266,661151744,0,6/13/2025 13:13
Arena + Burst,26,5,1.179,661164032,0,6/13/2025 13:13
Arena + Burst,27,1,1.156,682143744,0,6/13/2025 13:13
Arena + Burst,27,2,1.435,682143744,0,6/13/2025 13:13
Arena + Burst,27,3,1.17,682143744,0,6/13/2025 13:13
Arena + Burst,27,4,1.171,682143744,0,6/13/2025 13:13
Arena + Burst,27,5,1.207,682143744,0,6/13/2025 13:13
Arena + Burst,28,1,1.285,703123456,0,6/13/2025 13:13
Arena + Burst,28,2,1.22,703123456,0,6/13/2025 13:13
Arena + Burst,28,3,1.4,703123456,0,6/13/2025 13:13
Arena + Burst,28,4,1.357,703123456,0,6/13/2025 13:13
Arena + Burst,28,5,1.178,703123456,0,6/13/2025 13:13
Arena + Burst,29,1,1.28,724103168,0,6/13/2025 13:13
Arena + Burst,29,2,1.24,598212608,0,6/13/2025 13:13
Arena + Burst,29,3,1.185,598212608,0,6/13/2025 13:13
Arena + Burst,29,4,1.305,598212608,0,6/13/2025 13:13
Arena + Burst,29,5,1.221,598212608,0,6/13/2025 13:13
Arena + Burst,30,1,1.161,619192320,0,6/13/2025 13:13
Arena + Burst,30,2,1.297,619192320,0,6/13/2025 13:13
Arena + Burst,30,3,1.201,619192320,0,6/13/2025 13:13
Arena + Burst,30,4,1.304,619192320,0,6/13/2025 13:13
